City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Bethel,US,41.3712,-73.414,69.37,94,90,3.44,mist
69,San Quintin,MX,30.4833,-115.95,68.25,84,16,5.41,few clouds
70,Tura,IN,25.5198,90.2201,85.26,67,100,6.08,overcast clouds
71,Fairbanks,US,64.8378,-147.7164,73.4,49,75,1.01,broken clouds
72,Victoria,HK,22.2855,114.1577,93.96,72,100,7.0,overcast clouds
73,Muisne,EC,0.6,-80.0333,74.12,83,100,7.83,overcast clouds
74,Puerto Ayora,EC,-0.7393,-90.3518,71.15,86,98,10.11,overcast clouds
75,Sitka,US,57.0531,-135.33,53.49,82,90,0.0,light rain
76,Narsaq,GL,60.9167,-46.05,46.62,72,87,2.66,overcast clouds
77,Ostrovnoy,RU,68.0531,39.5131,65.61,61,26,9.04,scattered clouds
78,Carauari,BR,-4.8828,-66.8958,70.63,99,32,2.13,scattered clouds
79,Tasiilaq,GL,65.6145,-37.6368,42.96,98,100,2.68,overcast clouds
80,Alice Springs,AU,-23.7,133.8833,83.75,21,90,18.41,overcast clouds
81,Thompson,CA,55.7435,-97.8558,56.26,60,97,0.81,overcast clouds
82,Tuktoyaktuk,CA,69.4541,-133.0374,40.17,82,100,18.03,overcast clouds
83,Tezu,IN,27.9167,96.1667,79.47,98,100,2.33,light rain
84,Castro,BR,-24.7911,-50.0119,52.05,73,43,2.68,scattered clouds
85,Butaritari,KI,3.0707,172.7902,83.43,75,100,11.36,light rain
86,Moron,AR,-34.6534,-58.6198,50.97,93,100,4.0,overcast clouds
87,Qaanaaq,GL,77.484,-69.3632,38.7,95,100,1.92,overcast clouds
88,Puerto Escondido,MX,15.85,-97.0667,79.14,75,89,6.64,overcast clouds
89,Acarau,BR,-2.8856,-40.12,75.88,86,100,12.71,overcast clouds
90,Hvolsvollur,IS,63.7533,-20.2243,49.8,92,100,7.81,light rain
91,Tigil,RU,57.8,158.6667,59.58,98,100,6.4,light rain
92,Carnarvon,AU,-24.8667,113.6333,69.87,59,100,13.8,overcast clouds
93,Ucluelet,CA,48.9329,-125.5528,62.04,92,94,1.01,overcast clouds
94,Beringovskiy,RU,63.05,179.3167,54.16,79,19,3.31,few clouds
95,Lovozero,RU,68.005,35.0117,63.9,76,100,17.47,overcast clouds
96,Hokitika,NZ,-42.7167,170.9667,46.36,88,100,2.57,overcast clouds
97,Naze,JP,28.3667,129.4833,85.12,75,100,7.9,overcast clouds
98,Fortuna,US,40.5982,-124.1573,57.18,95,90,5.75,overcast clouds
99,Lazo,RU,43.3817,133.9014,85.64,50,16,6.55,few clouds
100,Tabalosos,PE,-6.35,-76.6833,63.82,89,65,2.77,broken clouds
101,San Cristobal,VE,7.7669,-72.225,63.0,81,22,3.24,few clouds
102,Sola,VU,-13.8833,167.55,80.38,80,18,20.96,few clouds
103,Makakilo City,US,21.3469,-158.0858,77.32,67,90,4.61,overcast clouds
104,Iskilip,TR,40.7353,34.4739,76.91,41,0,6.2,clear sky
105,Kodiak,US,57.79,-152.4072,53.11,76,75,9.22,broken clouds
106,Vaini,TO,-21.2,-175.2,71.76,88,75,4.61,broken clouds
107,Bambanglipuro,ID,-7.95,110.2833,65.61,62,100,13.96,overcast clouds
108,Flin Flon,CA,54.7682,-101.865,56.71,63,15,3.6,few clouds
109,Upernavik,GL,72.7868,-56.1549,39.63,97,100,26.22,moderate rain
110,Honiara,SB,-9.4333,159.95,81.61,83,16,10.65,few clouds
111,Bambous Virieux,MU,-20.3428,57.7575,74.21,73,40,19.57,light rain
112,Berlevag,NO,70.8578,29.0864,51.75,87,75,12.66,broken clouds
113,Cseteny,HU,47.3181,17.9921,83.68,52,73,6.76,broken clouds
114,Kapaa,US,22.0752,-159.319,79.12,79,90,1.01,overcast clouds
115,Avarua,CK,-21.2078,-159.775,77.05,78,20,5.75,few clouds
116,Chuy,UY,-33.6971,-53.4616,55.35,91,100,7.27,moderate rain
117,Hilo,US,19.7297,-155.09,74.8,78,20,6.91,few clouds
118,Acapulco,MX,16.8634,-99.8901,79.79,86,100,3.71,overcast clouds
119,Marsa Matruh,EG,31.3525,27.2453,84.4,65,20,9.22,few clouds
120,Quang Ngai,VN,15.1167,108.8,92.35,53,23,13.38,few clouds
121,Netishyn,UA,50.34,26.6417,82.53,57,0,11.03,clear sky
122,Ust-Kuyga,RU,70.0167,135.6,66.87,62,100,1.99,light rain
123,Inongo,CD,-1.95,18.2667,70.65,54,100,3.6,overcast clouds
124,Namatanai,PG,-3.6667,152.4333,83.3,76,94,13.11,overcast clouds
125,Pisco,PE,-13.7,-76.2167,63.01,87,11,1.61,few clouds
126,Port Alfred,ZA,-33.5906,26.891,53.65,57,64,15.48,broken clouds
127,Cayenne,GF,4.9333,-52.3333,76.08,91,20,0.0,mist
128,Constitucion,CL,-35.3333,-72.4167,45.68,70,0,5.32,clear sky
129,Sisimiut,GL,66.9395,-53.6735,45.93,87,100,29.21,light rain
130,Chino Valley,US,34.7575,-112.4538,78.76,61,1,0.0,clear sky
131,Saint George,US,37.1041,-113.5841,78.35,72,1,5.99,clear sky
132,Mildura,AU,-34.2,142.15,66.16,48,40,6.91,scattered clouds
133,Touros,BR,-5.1989,-35.4608,72.5,88,15,12.62,few clouds
134,Saint-Philippe,RE,-21.3585,55.7679,78.22,68,1,11.48,clear sky
135,Channel-Port Aux Basques,CA,47.5702,-59.1367,55.15,72,0,4.34,clear sky
136,San Fernando,PH,15.0286,120.6898,89.62,55,100,1.63,overcast clouds
137,Kieta,PG,-6.2167,155.6333,82.63,77,9,9.08,light rain
138,Cabedelo,BR,-6.9811,-34.8339,74.07,82,94,12.24,overcast clouds
139,Hami,CN,42.8,93.45,94.21,15,99,4.97,overcast clouds
140,Cidreira,BR,-30.1811,-50.2056,61.72,84,100,1.48,overcast clouds
141,Bonavista,CA,48.6499,-53.1147,51.8,80,7,10.16,clear sky
142,Bluff,NZ,-46.6,168.3333,45.81,84,90,23.17,light rain
143,Sao Felix Do Xingu,BR,-6.6447,-51.995,67.51,63,3,1.9,clear sky
144,Palmer,US,42.1584,-72.3287,69.46,82,90,5.75,mist
145,Santarem,BR,-2.4431,-54.7083,75.33,100,75,4.61,broken clouds
146,Rudbar,AF,30.15,62.6,105.71,10,0,10.92,clear sky
147,Saldanha,ZA,-33.0117,17.9442,41.05,73,6,7.18,clear sky
148,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.13,91,0,8.75,clear sky
149,Sibiti,CG,-3.6819,13.3499,69.44,75,8,2.93,clear sky
150,Akyab,MM,20.15,92.9,86.11,71,100,8.75,overcast clouds
151,Airai,TL,-8.9266,125.4092,69.06,62,100,3.94,overcast clouds
152,Namibe,AO,-15.1961,12.1522,65.77,82,24,0.65,few clouds
153,Emirdag,TR,39.0197,31.15,75.15,47,0,4.88,clear sky
154,Port Hedland,AU,-20.3167,118.5667,82.45,51,75,10.36,broken clouds
155,Kalengwa,ZM,-13.4659,25.0027,68.54,37,40,5.41,scattered clouds
156,Iberia,US,29.9502,-91.7507,76.05,94,1,3.44,clear sky
157,Luderitz,NA,-26.6481,15.1594,54.0,39,0,10.65,clear sky
158,Pindobacu,BR,-10.7417,-40.3608,65.17,96,100,5.79,overcast clouds
159,Mangaluru,IN,12.8667,74.8833,83.26,83,90,8.05,mist
160,Antalaha,MG,-14.9003,50.2788,73.36,83,49,12.3,light rain
161,Klyuchi,RU,52.2667,79.1667,69.94,67,95,24.27,light rain
162,Lebu,CL,-37.6167,-73.65,46.44,82,8,12.01,clear sky
163,Hastings,GB,50.8552,0.5729,65.19,81,19,12.71,few clouds
164,Naryan-Mar,RU,67.6713,53.087,58.19,76,100,5.28,overcast clouds
165,Puerto Quijarro,BO,-17.7833,-57.7667,65.23,45,0,0.63,clear sky
166,Leningradskiy,RU,69.3833,178.4167,40.23,90,87,14.18,overcast clouds
