City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
350,Isehara,JP,87.58,moderate rain,35.3906,139.3078,APAHOTEL ISEHARA-EKIMAE
354,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
355,Sur,OM,88.32,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
357,Payo,ID,82.6,light rain,-3.7508,103.6372,Mess keban agung
365,Gigmoto,PH,86.5,overcast clouds,13.7796,124.39,Cj's Travellers Inn
369,Port Maria,JM,80.56,scattered clouds,18.3685,-76.8895,Galina Breeze Hotel
383,Novobirilyussy,RU,83.91,few clouds,56.9514,90.6661,Gostinitsa
392,Ugoofaaru,MV,82.27,overcast clouds,5.6667,73.0,Ungoofaaru Inn
399,Majene,ID,83.34,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
402,Veraval,IN,86.04,overcast clouds,20.9,70.3667,Lords Inn Somnath
404,Sobolevo,RU,80.11,scattered clouds,54.4299,31.8996,
406,Surdulica,RS,85.68,clear sky,42.6906,22.1708,Apartmani Park 2016
407,Puerto Penasco,MX,84.9,overcast clouds,31.3167,-113.5333,Playa Bonita Resort
411,Mayo,US,81.9,clear sky,38.8876,-76.5119,Resorts Resource Group International
412,Mount Isa,AU,85.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
417,Porbandar,IN,86.85,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
423,Abha,SA,84.02,clear sky,18.2164,42.5053,Abha Hotel
424,Phonhong,LA,89.42,moderate rain,18.5007,102.4166,Manyvong Guest House
427,Panino,RU,83.97,clear sky,51.6467,40.1346,Gostinitsa
429,Hasaki,JP,81.28,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
432,Chirongui,YT,82.33,broken clouds,-12.9319,45.1483,La Villa Mahatsara
438,Asau,RO,80.76,clear sky,46.4333,26.4,Casa Mika Ciobanus
440,Kijang,KR,89.33,scattered clouds,35.2442,129.2139,Samyang Beach Villa
448,Koungou,YT,82.11,few clouds,-12.7336,45.2042,Villa Netibor
454,Bintulu,MY,82.81,broken clouds,3.1667,113.0333,900 Boutique INN
456,Nacala,MZ,82.26,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
