City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mana,GF,2021-07-14 05:55:47,5.6592,-53.7767,75.51,93,86,7.0
68,East London,ZA,2021-07-14 05:55:47,-33.0153,27.9116,49.14,49,0,11.5
69,Hobyo,SO,2021-07-14 05:55:48,5.3505,48.5268,82.36,62,50,23.51
70,Sembe,CG,2021-07-14 05:55:49,1.6481,14.5806,72.82,87,67,1.72
71,Le Port,RE,2021-07-14 05:55:49,-20.9373,55.2919,75.2,51,16,1.39
72,Isangel,VU,2021-07-14 05:55:50,-19.55,169.2667,70.95,71,36,16.71
73,Dikson,RU,2021-07-14 05:55:50,73.5069,80.5464,35.04,95,62,15.77
74,Upernavik,GL,2021-07-14 05:55:50,72.7868,-56.1549,40.32,95,100,31.99
75,Yarada,IN,2021-07-14 05:55:51,17.65,83.2667,84.52,79,75,8.05
76,Puerto Ayora,EC,2021-07-14 05:55:51,-0.7393,-90.3518,71.74,87,84,9.46
77,Srednekolymsk,RU,2021-07-14 05:55:51,67.45,153.6833,66.02,40,16,3.58
78,Salalah,OM,2021-07-14 05:55:52,17.0151,54.0924,79.61,90,100,6.62
79,Daru,PG,2021-07-14 05:55:52,-9.0763,143.2092,79.97,88,34,16.58
80,Cape Town,ZA,2021-07-14 05:51:50,-33.9258,18.4232,49.12,89,75,1.01
81,Khatanga,RU,2021-07-14 05:55:53,71.9667,102.5,43.43,69,98,21.68
82,Saint George,US,2021-07-14 05:55:53,37.1041,-113.5841,79.39,73,90,5.01
83,Cidreira,BR,2021-07-14 05:55:54,-30.1811,-50.2056,62.01,86,100,1.7
84,Novoshcherbinovskaya,RU,2021-07-14 05:55:54,46.4767,38.6476,81.12,37,0,13.58
85,Rio Gallegos,AR,2021-07-14 05:55:55,-51.6226,-69.2181,37.45,81,0,5.75
86,The Valley,AI,2021-07-14 05:55:55,18.217,-63.0578,80.82,76,13,17.52
87,Margate,GB,2021-07-14 05:55:55,51.3813,1.3862,61.95,86,74,1.99
88,Port Lincoln,AU,2021-07-14 05:55:56,-34.7333,135.8667,61.34,73,19,22.95
89,Sawakin,SD,2021-07-14 05:55:56,19.1059,37.3321,96.48,43,79,12.33
90,Zhigansk,RU,2021-07-14 05:55:57,66.7697,123.3711,60.33,74,63,19.77
91,Busselton,AU,2021-07-14 05:55:57,-33.65,115.3333,61.05,63,50,20.69
92,Ouesso,CG,2021-07-14 05:55:58,1.6136,16.0517,74.23,76,87,1.14
93,Novooleksiyivka,UA,2021-07-14 05:55:58,46.2269,34.6428,80.2,40,3,13.15
94,Kruisfontein,ZA,2021-07-14 05:55:58,-34.0033,24.7314,41.88,72,32,7.85
95,Luderitz,NA,2021-07-14 05:55:59,-26.6481,15.1594,51.82,42,0,8.59
96,Chokurdakh,RU,2021-07-14 05:55:59,70.6333,147.9167,56.75,46,60,9.93
97,Ukiah,US,2021-07-14 05:56:00,39.1502,-123.2078,57.36,74,0,0.98
98,Mayo,US,2021-07-14 05:56:00,38.8876,-76.5119,82.94,82,75,3.0
